"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Random_Depths",1,50000,-0.227690605470112,0.194127672471061,-0.195388687975996,-0.209394444133403,0.172495614094903,-1.77372159991288,0.223932251397429,1.99765385131031,-1.11535466063715,2.17655717064774,0.000868165343918215
"Damage",2,50000,10.9103173050006,3.01769005524498,11.1221261545776,11.0384203092501,2.90564731037341,-4.27491343098669,20.4984133195362,24.7733267505229,-0.470070132991867,0.503349909157351,0.0134955201971057
