"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Random_Depths",1,50000,1.27230939452989,0.194127672471061,1.304611312024,1.2906055558666,0.172495614094903,-0.273721599912878,1.72393225139743,1.99765385131031,-1.11535466063715,2.17655717064775,0.000868165343918215
"Damage",2,50000,25.6892028278941,2.37913854603449,25.8592049452995,25.7891230673463,2.24655027378902,8.76368748802085,34.8214559533012,26.0577684652803,-0.541792471555478,1.01742711977105,0.0106398310336463
